Cytokine,CT(comb),CT(GTEx),CT(TCGA),CIMA_CytoSig,"CIMA_Best(comb,orig)","CIMA_Best(comb,filt)","CIMA_Best(GTEx,orig)","CIMA_Best(TCGA,orig)","CIMA_Best(GTEx,filt)","CIMA_Best(TCGA,filt)",Inflam_CytoSig,"Inflam_Best(comb,orig)","Inflam_Best(comb,filt)","Inflam_Best(GTEx,orig)","Inflam_Best(TCGA,orig)","Inflam_Best(GTEx,filt)","Inflam_Best(TCGA,filt)",scN_CytoSig,"scN_Best(comb,orig)","scN_Best(comb,filt)","scN_Best(GTEx,orig)","scN_Best(TCGA,orig)","scN_Best(GTEx,filt)","scN_Best(TCGA,filt)",scC_CytoSig,"scC_Best(comb,orig)","scC_Best(comb,filt)","scC_Best(GTEx,orig)","scC_Best(TCGA,orig)","scC_Best(GTEx,filt)","scC_Best(TCGA,filt)",Mean_CytoSig,"Mean_Best(comb,orig)","Mean_Best(comb,filt)","Mean_Best(GTEx,orig)","Mean_Best(TCGA,orig)","Mean_Best(GTEx,filt)","Mean_Best(TCGA,filt)"
ADM,Lymphatic_Endothelial,Lymphatic_Endothelial,Lymphatic_Endothelial,,-0.0662,0.1276,-0.0662,-0.0662,0.1276,0.1276,,0.4205,0.6761,0.4205,0.4205,0.6761,0.6761,,0.047,0.2629,0.047,0.047,0.2629,0.2629,,-0.2013,0.0814,-0.2013,-0.2013,0.0814,0.0814,,0.05,0.287,0.05,0.05,0.287,0.287
BDNF,ESC,Neuron,ESC,-0.0652,-0.0329,-0.0036,-0.0133,-0.0329,-0.2431,-0.0036,-0.2841,-0.1823,-0.2432,-0.0352,-0.1823,-0.1072,-0.2432,0.1001,0.3557,0.3639,0.1263,0.3557,0.1823,0.3639,0.2005,0.1503,0.1999,-0.161,0.1503,-0.0911,0.1999,-0.0122,0.0727,0.0792,-0.0208,0.0727,-0.0648,0.0792
BMP2,MSC,Osteoblast,MSC,0.1895,-0.0665,-0.0473,-0.0133,-0.0665,-0.069,-0.0473,0.609,0.1148,0.1791,0.0112,0.1148,-0.2208,0.1791,0.2486,0.0665,-0.0759,0.2908,0.0665,0.0959,-0.0759,0.319,0.0781,0.044,0.3104,0.0781,0.1004,0.044,0.3415,0.0482,0.025,0.1498,0.0482,-0.0234,0.025
BMP4,ESC,ESC,Lung_Fibroblast,-0.0173,0.0588,-0.0143,0.0588,0.2743,-0.0143,0.2483,0.2003,-0.2953,-0.0985,-0.2953,-0.6032,-0.0985,-0.0141,0.3031,0.2756,0.1352,0.2756,-0.2775,0.1352,0.2252,0.448,0.4619,0.3458,0.4619,-0.1616,0.3458,0.1639,0.2335,0.1252,0.092,0.1252,-0.192,0.092,0.1558
BMP6,Hepatocyte,Hepatocyte,MSC,-0.0551,-0.1095,-0.0894,-0.1095,0.0328,-0.0894,-0.0893,-0.31,0.5204,0.1764,0.5204,-0.4428,0.1764,-0.3482,0.1214,0.4475,0.1019,0.4475,-0.2411,0.1019,-0.0095,0.1035,0.414,0.2775,0.414,-0.2151,0.2775,0.0522,-0.035,0.3181,0.1166,0.3181,-0.2166,0.1166,-0.0987
CXCL12,B_Cell,B_Cell,B_Cell,0.0994,-0.2263,-0.2279,-0.2263,-0.2263,-0.2279,-0.2279,-0.0886,-0.1472,-0.122,-0.1472,-0.1472,-0.122,-0.122,0.2397,0.1773,0.1448,0.1773,0.1773,0.1448,0.1448,0.3514,0.1129,0.1235,0.1129,0.1129,0.1235,0.1235,0.1505,-0.0208,-0.0204,-0.0208,-0.0208,-0.0204,-0.0204
EGF,Lung_Fibroblast,Breast_Cancer_Line,Cervical_Cancer_Line,-0.0111,-0.0574,0.008,-0.1694,-0.0595,-0.1177,-0.0889,0.4147,0.3073,0.2773,0.3509,0.2572,0.2317,0.2866,0.0302,0.3735,0.3183,0.4493,0.3628,0.39,0.3746,-0.0532,-0.0499,-0.1003,-0.1069,-0.0951,-0.1702,-0.084,0.0952,0.1434,0.1258,0.131,0.1164,0.0834,0.1221
FGF10,Breast_Cancer_Line,Breast_Cancer_Line,Breast_Cancer_Line,,0.0054,-0.1175,0.0054,0.0054,-0.1175,-0.1175,,0.107,0.0852,0.107,0.107,0.0852,0.0852,,0.2591,0.3025,0.2591,0.2591,0.3025,0.3025,,0.15,0.1568,0.15,0.15,0.1568,0.1568,,0.1304,0.1068,0.1304,0.1304,0.1068,0.1068
FGF2,Pancreatic_Cancer_Line,Dermal_Fibroblast,Pancreatic_Cancer_Line,-0.2348,-0.1262,-0.2322,-0.109,-0.1262,0.0346,-0.2322,-0.0598,-0.125,-0.0788,0.3129,-0.125,0.1083,-0.0788,0.0569,0.4333,0.3562,0.1857,0.4333,-0.0909,0.3562,-0.0012,0.0376,0.0039,-0.0399,0.0376,-0.2675,0.0039,-0.0597,0.0549,0.0123,0.0874,0.0549,-0.0539,0.0123
GDF11,Skeletal_Muscle,Skeletal_Muscle,Skeletal_Muscle,0.2606,0.2266,0.2158,0.2266,0.2266,0.2158,0.2158,-0.3824,-0.0786,-0.1456,-0.0786,-0.0786,-0.1456,-0.1456,0.2679,0.5812,0.4663,0.5812,0.5812,0.4663,0.4663,0.2034,0.2612,0.1281,0.2612,0.2612,0.1281,0.1281,0.0874,0.2476,0.1662,0.2476,0.2476,0.1662,0.1662
GDNF,Breast_Cancer_Line,Breast_Cancer_Line,Breast_Cancer_Line,,-0.0234,0.1929,-0.0234,-0.0234,0.1929,0.1929,,0.033,-0.0799,0.033,0.033,-0.0799,-0.0799,,0.0935,0.1983,0.0935,0.0935,0.1983,0.1983,,0.0013,0.0719,0.0013,0.0013,0.0719,0.0719,,0.0261,0.0958,0.0261,0.0261,0.0958,0.0958
HGF,Breast_Cancer_Line,Breast_Cancer_Line,Breast_Cancer_Line,-0.2524,0.0038,0.02,0.0038,0.0038,0.02,0.02,-0.4929,-0.0581,-0.0593,-0.0581,-0.0581,-0.0593,-0.0593,0.1268,-0.4773,-0.4944,-0.4773,-0.4773,-0.4944,-0.4944,0.2256,-0.3886,-0.4063,-0.3886,-0.3886,-0.4063,-0.4063,-0.0982,-0.23,-0.235,-0.23,-0.23,-0.235,-0.235
HMGB1,HUVEC,HUVEC,HUVEC,,-0.3108,-0.2668,-0.3108,-0.3108,-0.2668,-0.2668,,-0.8213,-0.8105,-0.8213,-0.8213,-0.8105,-0.8105,,-0.4297,-0.4614,-0.4297,-0.4297,-0.4614,-0.4614,,-0.358,-0.3649,-0.358,-0.358,-0.3649,-0.3649,,-0.48,-0.4759,-0.48,-0.48,-0.4759,-0.4759
IFNG,Monocyte,PBMC,Fibroblast,0.4133,0.3359,0.3129,0.157,0.3566,0.3793,0.401,0.3982,0.1502,0.1771,0.0582,0.0802,0.1626,0.2795,0.3055,0.5038,0.491,0.2396,0.4689,0.2274,0.4087,0.4984,0.5095,0.4463,0.387,0.4287,0.2802,0.4387,0.4038,0.3748,0.3568,0.2104,0.3336,0.2624,0.382
IGF1,Cervical_Cancer_Line,Breast_Cancer_Line,Breast_Cancer_Line,,-0.1669,-0.1337,-0.1807,-0.1807,-0.116,-0.116,,0.2491,0.1027,0.0178,0.0178,-0.0405,-0.0405,,0.0532,-0.0376,-0.05,-0.05,-0.039,-0.039,,0.0049,-0.0587,-0.1315,-0.1315,-0.1596,-0.1596,,0.0351,-0.0318,-0.0861,-0.0861,-0.0888,-0.0888
IL10,PBMC,PBMC,PBMC,0.0576,0.0669,0.1302,0.0669,0.0669,0.1302,0.1302,0.7664,0.819,0.8092,0.819,0.819,0.8092,0.8092,0.2925,0.4411,0.3763,0.4411,0.4411,0.3763,0.3763,0.4412,0.4665,0.4655,0.4665,0.4665,0.4655,0.4655,0.3894,0.4484,0.4453,0.4484,0.4484,0.4453,0.4453
IL13,B_Cell,Monocyte,B_Cell,0.2126,0.2351,0.1061,-0.1061,0.2351,-0.1328,0.1061,0.2267,-0.4128,-0.3081,0.1662,-0.4128,0.2211,-0.3081,-0.0039,-0.104,0.0298,0.092,-0.104,0.0196,0.0298,0.1101,0.1405,0.0262,-0.1148,0.1405,-0.1067,0.0262,0.1364,-0.0353,-0.0365,0.0093,-0.0353,0.0003,-0.0365
IL15,NK_Cell,NK_Cell,T_CD4,0.4309,0.4462,0.4105,0.4462,0.2191,0.4105,0.3565,-0.4178,0.2093,0.0644,0.2093,0.2158,0.0644,0.418,-0.0485,-0.2947,-0.4172,-0.2947,-0.1351,-0.4172,-0.1524,0.1017,0.1815,0.0251,0.1815,-0.3282,0.0251,-0.1268,0.0166,0.1356,0.0207,0.1356,-0.0071,0.0207,0.1238
IL17A,Keratinocyte,Keratinocyte,Keratinocyte,-0.0736,0.2256,0.0826,0.2256,0.2256,0.0826,0.0826,0.2325,0.1863,0.2399,0.1863,0.1863,0.2399,0.2399,0.1854,-0.085,-0.0871,-0.085,-0.085,-0.0871,-0.0871,0.1215,0.1532,0.1602,0.1532,0.1532,0.1602,0.1602,0.1165,0.12,0.0989,0.12,0.12,0.0989,0.0989
IL1A,Lung_Cancer_Line,Lung_Cancer_Line,Lung_Cancer_Line,0.3841,0.2976,0.2885,0.2976,0.2976,0.2885,0.2885,0.7177,0.5014,0.5739,0.5014,0.5014,0.5739,0.5739,0.3108,0.111,0.1758,0.111,0.111,0.1758,0.1758,0.6195,0.3979,0.4191,0.3979,0.3979,0.4191,0.4191,0.508,0.327,0.3643,0.327,0.327,0.3643,0.3643
IL1B,Chondrocyte,Smooth_Muscle,Fibroblast,0.6733,0.521,0.629,0.5398,0.5346,0.5572,0.5008,0.7907,0.5263,0.6384,0.5882,0.6057,0.7049,0.708,0.2432,0.2044,0.2935,0.2219,0.2774,0.2805,0.3137,0.6913,0.49,0.5783,0.5059,0.5474,0.5742,0.6024,0.5996,0.4354,0.5348,0.464,0.4913,0.5292,0.5312
IL2,T_Cell,T_Cell,T_Cell,-0.0495,-0.0733,-0.0999,-0.0733,-0.0733,-0.0999,-0.0999,0.0051,0.072,0.2079,0.072,0.072,0.2079,0.2079,-0.1881,-0.2825,-0.1522,-0.2825,-0.2825,-0.1522,-0.1522,-0.3226,0.1193,0.0017,0.1193,0.1193,0.0017,0.0017,-0.1388,-0.0411,-0.0106,-0.0411,-0.0411,-0.0106,-0.0106
IL22,Keratinocyte,Keratinocyte,Keratinocyte,-0.0597,-0.0642,-0.0389,-0.0642,-0.0642,-0.0389,-0.0389,-0.389,0.0969,-0.083,0.0969,0.0969,-0.083,-0.083,-0.0048,-0.0676,-0.1195,-0.0676,-0.0676,-0.1195,-0.1195,-0.1594,0.0007,-0.0798,0.0007,0.0007,-0.0798,-0.0798,-0.1532,-0.0085,-0.0803,-0.0085,-0.0085,-0.0803,-0.0803
IL27,Hepatocyte,Hepatocyte,Hepatocyte,0.429,0.3414,0.3429,0.3414,0.3414,0.3429,0.3429,0.4576,0.5916,0.5654,0.5916,0.5916,0.5654,0.5654,0.1879,0.3209,0.2836,0.3209,0.3209,0.2836,0.2836,0.5108,0.2897,0.2985,0.2897,0.2897,0.2985,0.2985,0.3963,0.3859,0.3726,0.3859,0.3859,0.3726,0.3726
IL3,Basophil,Basophil,Basophil,-0.0115,-0.0696,-0.0052,-0.0696,-0.0696,-0.0052,-0.0052,-0.1293,-0.1998,-0.2204,-0.1998,-0.1998,-0.2204,-0.2204,0.0165,-0.059,-0.1418,-0.059,-0.059,-0.1418,-0.1418,-0.1556,-0.0246,-0.1103,-0.0246,-0.0246,-0.1103,-0.1103,-0.07,-0.0882,-0.1194,-0.0882,-0.0882,-0.1194,-0.1194
IL36A,Keratinocyte,Keratinocyte,,,-0.1707,-0.2794,-0.1707,,-0.2794,,,-0.3959,-0.3526,-0.3959,,-0.3526,,,-0.0539,-0.1781,-0.0539,,-0.1781,,,0.0577,0.0355,0.0577,,0.0355,,,-0.1407,-0.1937,-0.1407,,-0.1937,
IL36B,Keratinocyte,Keratinocyte,,,0.1345,-0.1082,0.1345,,-0.1082,,,0.0153,0.0197,0.0153,,0.0197,,,-0.0249,-0.0939,-0.0249,,-0.0939,,,0.0581,0.1019,0.0581,,0.1019,,,0.0458,-0.0201,0.0458,,-0.0201,
IL36G,Keratinocyte,Keratinocyte,,,0.0848,-0.1786,0.0848,,-0.1786,,,0.003,0.1302,0.003,,0.1302,,,0.0055,-0.0445,0.0055,,-0.0445,,,0.1592,0.1805,0.1592,,0.1805,,,0.0631,0.0219,0.0631,,0.0219,
IL4,Keratinocyte,Fibroblast,Keratinocyte,-0.1208,-0.0706,-0.1243,-0.0736,-0.0706,-0.1243,-0.0387,-0.3071,-0.1832,-0.2653,-0.1671,-0.1832,-0.2653,-0.1304,0.0039,-0.0664,0.0005,0.0471,-0.0664,0.0005,-0.0984,-0.0672,-0.073,0.0195,-0.0111,-0.073,0.0195,-0.1898,-0.1228,-0.0983,-0.0924,-0.0512,-0.0983,-0.0924,-0.1143
IL6,Macrophage,Macrophage,Breast_Cancer_Line,0.1751,0.0689,0.3114,0.0689,0.0478,0.3114,0.1381,0.3345,0.42,0.3869,0.42,0.2789,0.3869,0.3602,0.2737,0.5367,0.5145,0.5367,0.0277,0.5145,0.1804,0.464,0.1955,0.2555,0.1955,0.183,0.2555,0.3729,0.3118,0.3053,0.3671,0.3053,0.1344,0.3671,0.2629
INS,Keratinocyte,Keratinocyte,Keratinocyte,,0.0415,0.0032,0.0415,0.0415,0.0032,0.0032,,-0.1123,-0.0817,-0.1123,-0.1123,-0.0817,-0.0817,,-0.0699,-0.0551,-0.0699,-0.0699,-0.0551,-0.0551,,-0.2532,-0.211,-0.2532,-0.2532,-0.211,-0.211,,-0.0985,-0.0862,-0.0985,-0.0985,-0.0862,-0.0862
LTA,PBMC,PBMC,PBMC,-0.3272,-0.4283,-0.1748,-0.4283,-0.4283,-0.1748,-0.1748,0.1085,0.0917,0.2367,0.0917,0.0917,0.2367,0.2367,-0.1016,-0.4788,-0.3898,-0.4788,-0.4788,-0.3898,-0.3898,0.0552,-0.1924,-0.0582,-0.1924,-0.1924,-0.0582,-0.0582,-0.0663,-0.252,-0.0965,-0.252,-0.252,-0.0965,-0.0965
MSTN,Skeletal_Muscle,Skeletal_Muscle,Skeletal_Muscle,,-0.1262,0.0149,-0.1262,-0.1262,0.0149,0.0149,,0.1397,0.0494,0.1397,0.1397,0.0494,0.0494,,0.2551,0.1705,0.2551,0.2551,0.1705,0.1705,,0.0958,-0.0094,0.0958,0.0958,-0.0094,-0.0094,,0.0911,0.0564,0.0911,0.0911,0.0564,0.0564
NRG1,Hepatocyte,Hepatocyte,Hepatocyte,,-0.0897,-0.2085,-0.0897,-0.0897,-0.2085,-0.2085,,0.4066,0.0684,0.4066,0.4066,0.0684,0.0684,,0.4752,0.3981,0.4752,0.4752,0.3981,0.3981,,0.3891,0.2343,0.3891,0.3891,0.2343,0.2343,,0.2953,0.1231,0.2953,0.2953,0.1231,0.1231
NTF4,ESC,ESC,ESC,,-0.2093,-0.1515,-0.2093,-0.2093,-0.1515,-0.1515,,,,,,,,,0.4497,0.4645,0.4497,0.4497,0.4645,0.4645,,0.0065,0.0408,0.0065,0.0065,0.0408,0.0408,,0.0823,0.1179,0.0823,0.0823,0.1179,0.1179
OSM,Hepatocyte,Hepatocyte,Hepatocyte,0.4443,0.3049,0.2939,0.3049,0.3049,0.2939,0.2939,0.5288,0.3654,0.2621,0.3654,0.3654,0.2621,0.2621,0.0637,0.1604,0.1257,0.1604,0.1604,0.1257,0.1257,0.4204,0.4242,0.3341,0.4242,0.4242,0.3341,0.3341,0.3643,0.3137,0.254,0.3137,0.3137,0.254,0.254
PDGFB,Neuron,Dermal_Fibroblast,Dermal_Fibroblast,,0.3262,0.1488,0.2382,0.2382,-0.0757,-0.0757,,0.4607,-0.0268,0.0371,0.0371,-0.331,-0.331,,0.4186,0.1306,-0.0568,-0.0568,-0.0372,-0.0372,,0.2526,-0.0573,-0.0215,-0.0215,-0.1251,-0.1251,,0.3645,0.0488,0.0492,0.0492,-0.1422,-0.1422
PDGFD,Fibroblast,Fibroblast,Fibroblast,,-0.0409,0.2681,-0.0409,-0.0409,0.2681,0.2681,,-0.6281,-0.4937,-0.6281,-0.6281,-0.4937,-0.4937,,0.1676,0.2451,0.1676,0.1676,0.2451,0.2451,,-0.274,-0.2192,-0.274,-0.274,-0.2192,-0.2192,,-0.1939,-0.0499,-0.1939,-0.1939,-0.0499,-0.0499
TGFA,Keratinocyte,Keratinocyte,Keratinocyte,,-0.2154,-0.1979,-0.2154,-0.2154,-0.1979,-0.1979,,-0.3435,-0.3269,-0.3435,-0.3435,-0.3269,-0.3269,,0.1733,0.1318,0.1733,0.1733,0.1318,0.1318,,0.1473,0.0598,0.1473,0.1473,0.0598,0.0598,,-0.0596,-0.0833,-0.0596,-0.0596,-0.0833,-0.0833
TGFB1,Breast_Cancer_Line,Lung_Cancer_Line,Airway_Epithelial,0.3495,0.0096,0.1524,0.5318,-0.2576,0.3226,0.0026,-0.446,-0.5977,-0.5636,-0.3776,-0.585,-0.4804,-0.573,0.1365,0.1222,0.1597,0.2187,0.083,0.2069,0.1313,0.3358,0.3348,0.3613,0.4782,0.2485,0.4376,0.3116,0.0939,-0.0328,0.0274,0.2128,-0.1278,0.1217,-0.0319
TGFB3,Lung_Cancer_Line,Lung_Cancer_Line,Lung_Cancer_Line,0.3268,-0.0959,-0.0382,-0.0959,-0.0959,-0.0382,-0.0382,0.3384,-0.0562,0.1348,-0.0562,-0.0562,0.1348,0.1348,0.1923,0.4895,0.4765,0.4895,0.4895,0.4765,0.4765,0.4666,0.3303,0.3618,0.3303,0.3303,0.3618,0.3618,0.331,0.1669,0.2337,0.1669,0.1669,0.2337,0.2337
VEGFA,HUVEC,Lymphatic_Endothelial,Lymphatic_Endothelial,0.3748,0.3994,0.3949,-0.0616,-0.0616,-0.194,-0.194,0.7221,0.6319,0.6177,0.5669,0.5669,0.6266,0.6266,0.2683,0.5747,0.5123,0.4926,0.4926,0.5259,0.5259,0.1925,0.249,0.1911,0.025,0.025,0.1073,0.1073,0.3894,0.4638,0.429,0.2557,0.2557,0.2664,0.2664
VEGFC,Lymphatic_Endothelial,Lymphatic_Endothelial,Lymphatic_Endothelial,,0.0415,0.043,0.0415,0.0415,0.043,0.043,,-0.4382,-0.2994,-0.4382,-0.4382,-0.2994,-0.2994,,0.099,0.3052,0.099,0.099,0.3052,0.3052,,-0.234,-0.0234,-0.234,-0.234,-0.0234,-0.0234,,-0.1329,0.0064,-0.1329,-0.1329,0.0064,0.0064
WNT3A,Fibroblast,Fibroblast,Breast_Cancer_Line,0.1352,-0.0581,0.112,-0.0581,0.0989,0.112,0.0409,0.2352,0.2665,0.2046,0.2665,-0.3992,0.2046,-0.2982,0.0639,-0.0058,-0.1545,-0.0058,0.0025,-0.1545,0.0107,0.0522,-0.1166,-0.145,-0.1166,0.0896,-0.145,0.0557,0.1216,0.0215,0.0043,0.0215,-0.052,0.0043,-0.0477
